jobtitle,company,location,jobsnippet,salary,companyrating,href
Mid-Level Developer,MHMR of Tarrant County,"Fort Worth, TX","Q) Document code thoroughly as well as develop clear, concise technical and user documentation, i.e., system/data workflows, descriptions of processes, etc.",Estimated: $23.50 - $28.50 an hour,3.2 ,simplyhired.com/job/Y-KVSoERAwMm7XMdhQLfsX5C9dxl-Gu43BsLDGibaqCH3ni_vRtz6g
"Solutions Engineer, Data",Liberty Mutual Insurance,Remote,"Research, recommend, design and develop systems and application architecture. Research, recommend, design and develop systems and application architecture with…","$154,000 - $216,300 a year",3.6 ,simplyhired.com/job/Wy7NqAFwyyNPSR9ziX1Za-9MsMX_mKch9xeXQetPv-VU4Q-GW90_uQ
Mobile Application Developer (Hybrid),Adidev Technologies Inc,"Atlanta, GA",Adidev Technologies is seeking entry and mid level Hybrid developers with at least 1 - 2 years of experience. Familiar with code versioning tools such as Git.,Estimated: $76.8K - $97.2K a year,N/A,simplyhired.com/job/uo3AOFaQt0s9GUeXoPzahSLhCQrGO9mnQdr6uS8JcXGlL2SogFnLPQ
Senior Enterprise Mobility Developer,Delta,"Atlanta, GA","Technical Expertise Involves demonstrating a commitment to increasing knowledge and skills in current technical / functional area, keeping up to date on…",Estimated: $96.3K - $122K a year,4.2 ,simplyhired.com/job/MXMYdK7lIDQqIJ98sydLsv--3Of16iF6QkWpmaB3aWuN6wCxmyG2DQ
"Analyst I, Quality Assurance",GCI,"Anchorage, AK","Driving Requirements (if applicable): Must possess and maintain a valid driver’s license, proof of insurance and a satisfactory driving record.",Estimated: $59.6K - $75.5K a year,3.9 ,simplyhired.com/job/sUZfNZjIwFCqna7UGohKApRYHd_alWPr8gdz-8iN2ea1zooUarIlOQ
ASSOCIATE APPLICATION PROGRAMMER ANALYST - ITD,"Tarrant County, TX","Tarrant County, TX",Resolves Request/Incident tickets of a routine/basic nature from users and provides telephone and onsite technical support to troubleshoot and fix minor…,"Estimated: $5,207 - $5,728 a month",3.9 ,simplyhired.com/job/_D4q-ZWKGWGle3o29MCbDp3_o959bPuIha8wx5BrWdVBWkojXG4zXw
Software Developer,HCL Global Systems Inc,"Farmington Hills, MI","Design, develop, integrate and maintain enterprise applications; participate in SDLC; analyze business and technical requirements; perform systems and business…","Estimated: $64,000 a year",4.5 ,simplyhired.com/job/j6BLCaW1OT-KVtPkC0oklU_GGv56a0jxbyU-i9OM2WuOfDJqBjJFAA
IT Manager,Idex Corporation,"Rochester, NY","Work with the Commercial Team to develop the organization's digital platforms and tools, including Distributor Portals, company websites, mobile apps, CRM, and…",Estimated: $98.3K - $124K a year,3.5 ,simplyhired.com/job/JhfR6fphWS2dckvD_4IcyHKgH3N3nU1Nn2Tj6ppC-GGz-U8A4QUz2g
Full Stack Developer,"Volumatic, Inc.",Remote,Experienced OPT’s and Candidates looking for H1B Transfer and GC filing can also apply immediately. We sponsor H1B visa for qualified candidates with no…,Estimated: $104K - $132K a year,N/A,simplyhired.com/job/9FHM3Nt00BDjLR_cP9yURmd--bDEyg_5zIIgcPbGuQkD4cCCj_1iiQ
Software Engineer Full Stack,INTEL,"Marylhurst, OR","Uses modern software development methodologies and programming languages, follows secure coding practices and software legal compliance guidelines, analyzes…",N/A,4.1 ,simplyhired.com/job/5TDjkq7DEiV3TYNQn4NuOtqzvczS2riZPeWqO4q3C9eUcSbiOPKpDA
Full Stack Web Developer - Entry Level,Aston Technologies Inc.,"Saint Louis Park, MN","JS React front end, building sophisticated graphical user interfaces (GUI), managed DevOps infrastructure as well as Big Data.",Estimated: $25 an hour,4.1 ,simplyhired.com/job/L2fYVjRbK6eA4fbn922yWize8h853PBsiC71nyUJVjICQX1YdeVbDw
"Principal Quantitative Engineer, Investments Technology",Liberty Mutual Insurance,"Boston, MA","Develops complex models, strategies and analytics tools used to drive trading decisions and develops valuation and risk models and tools for a variety of asset…","$145,000 - $185,000 a year",3.6 ,simplyhired.com/job/SFrt60qTtE0C2q0crT3lXY3jv2OikoLkiyAR-hZeC00iWu8_UcLeZg
Entry Level Full Stack Developer,BeaconFire Solution,"East Windsor, NJ","Develop websites using HTML, CSS, Node.js, React.js, and Angular2+, among other tools. Invest time into professional development to stay up to date with new…","Estimated: $65,000 - $80,000 a year",4.8 ,simplyhired.com/job/_07w5WdUP5RYEfNt_rLtKEuAuMUHg_2vSEMxg2FTEe-MJIDnnMNDJA
Full-Stack Engineer,Offchain Labs,Remote,Always up-to-speed on the latest technologies. Porting contracts to Arbitrum requires no code changes or downloads since it’s compatible with existing Ethereum…,Estimated: $87.3K - $111K a year,N/A,simplyhired.com/job/HkWzwaI-UdHDLHtUFK20Nou31RMEE_gSwrkFJUwZkrqvAgUL_NgXmg
Entry Level C# .NET Full Stack Developer,"Antra, Inc",Remote,"∙ Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $120,000 a year",4.5 ,simplyhired.com/job/8g0WtmXPkIbDEXT_xbV_oEHzSMbfrWP7lsekVBm8b2b4o6hgGblAjw
Entry Level Full Stack Developer,"Antra, Inc","Chicago, IL","Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $70,000 a year",4.5 ,simplyhired.com/job/guQzdYN2IaaZJP8KCCfXch5U5Cnqg6--kgfoHICVgK8uOdhg6BVeOw
Entry level FullStack Developer,Antra Inc.,"California City, CA","Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $65,000 - $70,000 a year",N/A,simplyhired.com/job/_WcvMFzVZQ8ZnEx1iQMQjoSNAn9RJYlLpnBebSnKCIleSPSOCC9PkQ
"Lead Software Engineer - Sign-On/Relocation Bonus Available, Hybrid Opport","ENSCO, Inc.","Springfield, VA","Tasks range from leading other software engineers, mentoring, team/staff career development, process creation and implementation, managing and ensuring a well…",Estimated: $126K - $160K a year,4.1 ,simplyhired.com/job/l4_JX5UN6uvjeXGGe8bddGWbHcREWTTMVJv8Y0IVfhayMe6lRNMsBg
"Software Engineer, Power BI/Snowflake",Liberty Mutual Insurance,"Boston, MA","A thorough grasp of technology concepts, business operations, design and development tools, system architecture and technical standards.","$97,500 - $124,500 a year",3.6 ,simplyhired.com/job/F9fxXP7tMElCxtZ2N-GACLr_9aBv2lG5IrrR5h3fFAmZlJRMoKwAgQ
Software Engineer - Entry level - Remote - Only Masters,SoftSages Technology Inc,"Chicago, IL","In addition to program design this includes determining language, platform, and resource requirements. Implementation of design including coding, testing, and…","Estimated: $64,597 - $75,711 a year",N/A,simplyhired.com/job/k7mO34E8arZVJ-Eu98iMtgau60zs8H8kxmEoy2k5B75lLF9aN2g6vw
Entry Level .Net Developer,Itlize Global LLC,"Piscataway, NJ",*BS/MS in computer science or a related field*. *Creation of site layout/user interface from provided design concepts by using standard HTML/CSS practices.*.,"Estimated: $60,000 a year",N/A,simplyhired.com/job/PpRq4yw0cKMa7GOdv6Xwgc4XlzxjighCR5BNGcRPxxe4W0v9z-Ik8Q
ReactJS/Java Full stack Engineer with or without experience,New Jersey Tech Systems LLC,"Princeton, NJ","\* Updates job knowledge by studying state-of-the-art development tools, programming techniques, and computing equipment; participating in educational…","Estimated: $50,000 - $80,000 a year",N/A,simplyhired.com/job/JpeOteEW2h2aehV9GDd1kTAdopOWlDDH6MeFgk92KYsvXoDTbJW7xg
"Full-Stack Java Developers, All Levels",The Bank of New York Mellon Corporation,"Lake Mary, FL",Flexible and independent team players who are comfortable leaving their comfort zones and thinking creatively.,Estimated: $101K - $128K a year,3.5 ,simplyhired.com/job/8zjSP8wm8zlhFZd7Ff37NL1g1keB1ZyW9BLVJmlBF7s5vILBqjhq_Q
Full Stack Developer,"Volumatic, Inc.",Remote,Experienced OPT’s and Candidates looking for H1B Transfer and GC filing can also apply immediately. We sponsor H1B visa for qualified candidates with no…,Estimated: $104K - $132K a year,N/A,simplyhired.com/job/9FHM3Nt00BDjLR_cP9yURmd--bDEyg_5zIIgcPbGuQkD4cCCj_1iiQ
Software Engineer Full Stack,INTEL,"Marylhurst, OR","Uses modern software development methodologies and programming languages, follows secure coding practices and software legal compliance guidelines, analyzes…",N/A,4.1 ,simplyhired.com/job/5TDjkq7DEiV3TYNQn4NuOtqzvczS2riZPeWqO4q3C9eUcSbiOPKpDA
Full Stack Web Developer - Entry Level,Aston Technologies Inc.,"Saint Louis Park, MN","JS React front end, building sophisticated graphical user interfaces (GUI), managed DevOps infrastructure as well as Big Data.",Estimated: $25 an hour,4.1 ,simplyhired.com/job/L2fYVjRbK6eA4fbn922yWize8h853PBsiC71nyUJVjICQX1YdeVbDw
"Principal Quantitative Engineer, Investments Technology",Liberty Mutual Insurance,"Boston, MA","Develops complex models, strategies and analytics tools used to drive trading decisions and develops valuation and risk models and tools for a variety of asset…","$145,000 - $185,000 a year",3.6 ,simplyhired.com/job/SFrt60qTtE0C2q0crT3lXY3jv2OikoLkiyAR-hZeC00iWu8_UcLeZg
Entry Level Full Stack Developer,BeaconFire Solution,"East Windsor, NJ","Develop websites using HTML, CSS, Node.js, React.js, and Angular2+, among other tools. Invest time into professional development to stay up to date with new…","Estimated: $65,000 - $80,000 a year",4.8 ,simplyhired.com/job/_07w5WdUP5RYEfNt_rLtKEuAuMUHg_2vSEMxg2FTEe-MJIDnnMNDJA
Full-Stack Engineer,Offchain Labs,Remote,Always up-to-speed on the latest technologies. Porting contracts to Arbitrum requires no code changes or downloads since it’s compatible with existing Ethereum…,Estimated: $87.3K - $111K a year,N/A,simplyhired.com/job/HkWzwaI-UdHDLHtUFK20Nou31RMEE_gSwrkFJUwZkrqvAgUL_NgXmg
Entry Level C# .NET Full Stack Developer,"Antra, Inc",Remote,"∙ Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $120,000 a year",4.5 ,simplyhired.com/job/8g0WtmXPkIbDEXT_xbV_oEHzSMbfrWP7lsekVBm8b2b4o6hgGblAjw
Entry Level Full Stack Developer,"Antra, Inc","Chicago, IL","Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $70,000 a year",4.5 ,simplyhired.com/job/guQzdYN2IaaZJP8KCCfXch5U5Cnqg6--kgfoHICVgK8uOdhg6BVeOw
Entry level FullStack Developer,Antra Inc.,"California City, CA","Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $65,000 - $70,000 a year",N/A,simplyhired.com/job/_WcvMFzVZQ8ZnEx1iQMQjoSNAn9RJYlLpnBebSnKCIleSPSOCC9PkQ
"Lead Software Engineer - Sign-On/Relocation Bonus Available, Hybrid Opport","ENSCO, Inc.","Springfield, VA","Tasks range from leading other software engineers, mentoring, team/staff career development, process creation and implementation, managing and ensuring a well…",Estimated: $126K - $160K a year,4.1 ,simplyhired.com/job/l4_JX5UN6uvjeXGGe8bddGWbHcREWTTMVJv8Y0IVfhayMe6lRNMsBg
"Software Engineer, Power BI/Snowflake",Liberty Mutual Insurance,"Boston, MA","A thorough grasp of technology concepts, business operations, design and development tools, system architecture and technical standards.","$97,500 - $124,500 a year",3.6 ,simplyhired.com/job/F9fxXP7tMElCxtZ2N-GACLr_9aBv2lG5IrrR5h3fFAmZlJRMoKwAgQ
Software Engineer - Entry level - Remote - Only Masters,SoftSages Technology Inc,"Chicago, IL","In addition to program design this includes determining language, platform, and resource requirements. Implementation of design including coding, testing, and…","Estimated: $64,597 - $75,711 a year",N/A,simplyhired.com/job/k7mO34E8arZVJ-Eu98iMtgau60zs8H8kxmEoy2k5B75lLF9aN2g6vw
Entry Level .Net Developer,Itlize Global LLC,"Piscataway, NJ",*BS/MS in computer science or a related field*. *Creation of site layout/user interface from provided design concepts by using standard HTML/CSS practices.*.,"Estimated: $60,000 a year",N/A,simplyhired.com/job/PpRq4yw0cKMa7GOdv6Xwgc4XlzxjighCR5BNGcRPxxe4W0v9z-Ik8Q
ReactJS/Java Full stack Engineer with or without experience,New Jersey Tech Systems LLC,"Princeton, NJ","\* Updates job knowledge by studying state-of-the-art development tools, programming techniques, and computing equipment; participating in educational…","Estimated: $50,000 - $80,000 a year",N/A,simplyhired.com/job/JpeOteEW2h2aehV9GDd1kTAdopOWlDDH6MeFgk92KYsvXoDTbJW7xg
"Full-Stack Java Developers, All Levels",The Bank of New York Mellon Corporation,"Lake Mary, FL",Flexible and independent team players who are comfortable leaving their comfort zones and thinking creatively.,Estimated: $101K - $128K a year,3.5 ,simplyhired.com/job/8zjSP8wm8zlhFZd7Ff37NL1g1keB1ZyW9BLVJmlBF7s5vILBqjhq_Q
"Full Stack Engineer, Machine Learning",Peloton,"New York, NY","Active engagement in technical discussions during architecture meetings, code reviews, and task breakdown. The AI Platform team at Peloton is looking for a full…",Estimated: $141K - $178K a year,3.2 ,simplyhired.com/job/65Pr2iVDs08CKH5YLc-Rwtf41jkiKlsOKPskp5M3wBmZ62w31TU7JA
Entry Level Java Developer,Tek Tron IT,"Topeka, KS","Familiarity with software engineering support systems and tools (e.g., Bitbucket, Git, VS, TFS, Postman). Experience working with an Agile team, methodologies,…","Estimated: $50,000 - $70,000 a year",N/A,simplyhired.com/job/kMDqSB_GnVQ-UO9qQ91uTNjor4IhM09WrIu4L7UCHJrTzeWUagxifw
Senior Full Stack Developer,Ortho Molecular Products,"Stevens Point, WI","This person will develop architecture including security and integration with other systems. Experience with DevOps tools, Java Script, C# .",Estimated: $95.3K - $121K a year,3.4 ,simplyhired.com/job/nWLucaX5jC074gvXb74fNgEXznG7uhb6xaEj3xQB1wDb4hriHggnbw
Junior full stack MS Access / MS SQL Server programmer,Advanced Database Solutions,"Ozark, MO","You will participate in all aspects of the programming cycle; client meetings, database planning sessions, creating programming cards to follow, programming,…",Estimated: $15 - $50 an hour,N/A,simplyhired.com/job/PazM6pZnOHUmpn4lPMtSUWrNvKDbjSbk227sInB0M0XQXQ8VEqWLEQ
Software Engineer - Full Stack,Avela,Remote,"Until we grow our customer success team, we’ll need help from the entire engineering team to support our customers with technical issues.",Estimated: $109K - $138K a year,3 ,simplyhired.com/job/OE-dLiZlSGkmTriwJOWjV7iqBmAUyRtke-L2KUMPPTDUs2dUcrH-QA
Full Stack Developer - Javascript,Visitu,"Cincinnati, OH",Two hour long in depth technical interview split into two one hour sessions. We will start by giving you a set of requirements and ask you to design draw a mock…,Estimated: $15 - $35 an hour,N/A,simplyhired.com/job/45k4_wu0K_F0aI1SkpZMwuGdA_tWhtkDPitdt0-dmn0eZjFOQ6a1zw
Full Stack Java Developer,Girikon Inc.,Remote,Very good design skills with strong knowledge of design patterns & principles. Degree in Computer Science or related field.,Estimated: $92K - $117K a year,N/A,simplyhired.com/job/d-GbsiGlESUfcDrdPqQddoDqNhMsdlSyZTFemSz0rkm-zomu0UNtHQ
Full Stack Developer,"Huupe, Inc.",United States,"We’re looking for a talented software engineer to architect and develop user interfaces and systems infrastructure running on our mobile app, our intelligent…",Estimated: $101K - $128K a year,N/A,simplyhired.com/job/l_OdzWKN5AxBDaDVOAzvOVLRBKBvSDTIXCP9-lvOnaBNg6nUvdm8Fg
Entry level Fullstack developer role,"Antra, Inc","Naperville, IL","*Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $70,000 a year",4.5 ,simplyhired.com/job/L51OvhJIjquUfqvDtAqFUFbcGo4Nk548V6Q20NajOVwdv8auggFQtA
"Senior Specialist, Full-Stack Developer",BNY Mellon,"New York, NY","Full Stack Java Developers, entry level to Principal-level. Flexible and independent team players who are comfortable leaving their comfort zones and thinking…",Estimated: $104K - $131K a year,3.5 ,simplyhired.com/job/QM6fRvphUrts0RXnQphGRzPs4w6WhTm_aQ9BzP66OYeLlKxac1KScg
Full Stack Engineer (Virtual role),LOCKHEED MARTIN CORPORATION,"Arlington, VA","Responsible for development of IT solutions across all components of software systems through design, integration, implementation and support.",N/A,4 ,simplyhired.com/job/GXJ0qDNIjj4XigT8O6t5xZnks5KviDRWbk78a44S2PYGnKRWcgGIsw
Software Developer / Engineer for Manufacturo Implementation,Andea Corp.,"Brea, CA","Andea specializes in delivering manufacturing technology services and solutions, from conducting technical assessments and providing strategic manufacturing…","Estimated: $65,000 - $105,000 a year",N/A,simplyhired.com/job/qdeMDNBtTtoo5C7nrextWMxdPPnOkU2moIQxecGHy1_uwfsj016BaQ
